ISim log file
Running: D:\repo\avmis\SCHEME_TEST_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/repo/avmis/SCHEME_TEST_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 500000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
at 109370 ns: Error: Test error!
at 109425 ns: Error: Test error!
at 109480 ns: Error: Test error!
at 109870 ns: Error: Test error!
at 109965 ns: Error: Test error!
at 110020 ns: Error: Test error!
at 110075 ns: Error: Test error!
at 110465 ns: Error: Test error!
at 110560 ns: Error: Test error!
at 110615 ns: Error: Test error!
at 110670 ns: Error: Test error!
at 111060 ns: Error: Test error!
at 111155 ns: Error: Test error!
at 111210 ns: Error: Test error!
at 111265 ns: Error: Test error!
at 111655 ns: Error: Test error!
at 111750 ns: Error: Test error!
at 111805 ns: Error: Test error!
at 111860 ns: Error: Test error!
at 112250 ns: Error: Test error!
at 112345 ns: Error: Test error!
at 112400 ns: Error: Test error!
at 112455 ns: Error: Test error!
at 112845 ns: Error: Test error!
at 112940 ns: Error: Test error!
at 112995 ns: Error: Test error!
at 113050 ns: Error: Test error!
at 113440 ns: Error: Test error!
at 113535 ns: Error: Test error!
at 113590 ns: Error: Test error!
at 113645 ns: Error: Test error!
at 114035 ns: Error: Test error!
at 114130 ns: Error: Test error!
at 114185 ns: Error: Test error!
at 114240 ns: Error: Test error!
at 133670 ns: Error: Test error!
at 133765 ns: Error: Test error!
at 133820 ns: Error: Test error!
at 133875 ns: Error: Test error!
at 134265 ns: Error: Test error!
at 134360 ns: Error: Test error!
at 134415 ns: Error: Test error!
at 134470 ns: Error: Test error!
at 134860 ns: Error: Test error!
at 134955 ns: Error: Test error!
at 135010 ns: Error: Test error!
at 135065 ns: Error: Test error!
at 135455 ns: Error: Test error!
at 135550 ns: Error: Test error!
at 135605 ns: Error: Test error!
at 135660 ns: Error: Test error!
at 136050 ns: Error: Test error!
at 136145 ns: Error: Test error!
at 136200 ns: Error: Test error!
at 136255 ns: Error: Test error!
at 136645 ns: Error: Test error!
at 136740 ns: Error: Test error!
at 136795 ns: Error: Test error!
at 136850 ns: Error: Test error!
at 137240 ns: Error: Test error!
at 137335 ns: Error: Test error!
at 137390 ns: Error: Test error!
at 137445 ns: Error: Test error!
at 137835 ns: Error: Test error!
at 137930 ns: Error: Test error!
at 137985 ns: Error: Test error!
at 138040 ns: Error: Test error!
at 138430 ns: Error: Test error!
at 138525 ns: Error: Test error!
at 138580 ns: Error: Test error!
at 138635 ns: Error: Test error!
at 139025 ns: Error: Test error!
at 139120 ns: Error: Test error!
at 139175 ns: Error: Test error!
at 139230 ns: Error: Test error!
at 139620 ns: Error: Test error!
at 139715 ns: Error: Test error!
at 139770 ns: Error: Test error!
at 139825 ns: Error: Test error!
at 140215 ns: Error: Test error!
at 140310 ns: Error: Test error!
at 140365 ns: Error: Test error!
at 140420 ns: Error: Test error!
at 140810 ns: Error: Test error!
at 140905 ns: Error: Test error!
at 140960 ns: Error: Test error!
at 141015 ns: Error: Test error!
at 141405 ns: Error: Test error!
at 141500 ns: Error: Test error!
at 141555 ns: Error: Test error!
at 141610 ns: Error: Test error!
at 142 us: Error: Test error!
at 142095 ns: Error: Test error!
at 142150 ns: Error: Test error!
at 142205 ns: Error: Test error!
at 142595 ns: Error: Test error!
at 142690 ns: Error: Test error!
at 142745 ns: Error: Test error!
at 142800 ns: Error: Test error!
at 143190 ns: Error: Test error!
at 143285 ns: Error: Test error!
at 143340 ns: Error: Test error!
at 143395 ns: Error: Test error!
at 143785 ns: Error: Test error!
at 143880 ns: Error: Test error!
at 143935 ns: Error: Test error!
at 143990 ns: Error: Test error!
at 144380 ns: Error: Test error!
at 144475 ns: Error: Test error!
at 144530 ns: Error: Test error!
at 144585 ns: Error: Test error!
at 144975 ns: Error: Test error!
at 145070 ns: Error: Test error!
at 145125 ns: Error: Test error!
at 145180 ns: Error: Test error!
at 145570 ns: Error: Test error!
at 145665 ns: Error: Test error!
at 145720 ns: Error: Test error!
at 145775 ns: Error: Test error!
at 146165 ns: Error: Test error!
at 146260 ns: Error: Test error!
at 146315 ns: Error: Test error!
at 146370 ns: Error: Test error!
at 146760 ns: Error: Test error!
at 146855 ns: Error: Test error!
at 146910 ns: Error: Test error!
at 146965 ns: Error: Test error!
at 147355 ns: Error: Test error!
at 147450 ns: Error: Test error!
at 147505 ns: Error: Test error!
at 147560 ns: Error: Test error!
at 147950 ns: Error: Test error!
at 148045 ns: Error: Test error!
at 148100 ns: Error: Test error!
